HISTORY_ID,CI_ID,CI_NAME,CI_CATEGORY,ACTION,ACTION_DT,ACTION_BY,NOTE
HIST_0001,CFG_WEB_019,ITSM 통합관리대시보드 (메인),L1_PAGE,ADDED,2026-07-11 12:00,USR_001,ITSM 통합관리대시보드 최초 구축(CHG_20260711_001)
HIST_0002,CFG_WEB_020,ITSM 통합관리대시보드 > 변경관리,L2_PAGE,ADDED,2026-07-11 12:00,USR_001,ITSM 통합관리대시보드 최초 구축(CHG_20260711_001)
HIST_0003,CFG_WEB_021,ITSM 통합관리대시보드 > 장애관리,L2_PAGE,ADDED,2026-07-11 12:00,USR_001,ITSM 통합관리대시보드 최초 구축(CHG_20260711_001)
HIST_0004,CFG_WEB_022,ITSM 통합관리대시보드 > 구성관리,L2_PAGE,ADDED,2026-07-11 12:00,USR_001,ITSM 통합관리대시보드 최초 구축(CHG_20260711_001)
